notice_id,verdict,note
기업마당:PBLN-DUMMY-0001,가능,"광주 소재 제조 중소기업, 상시근로자 8명으로 5~100인 범위 충족. 통합된 K-Startup 공고의 제외대상(체납·최근 3년 수혜)도 해당 없음. 스마트공장 미구축은 우대사항"
기업마당:PBLN-DUMMY-0002,가능,"수출액 0달러로 100만불 미만 충족, 업종 제한 없음"
기업마당:PBLN-DUMMY-0003,불가,뿌리기술 활용 기업이 아님
기업마당:PBLN-DUMMY-0004,가능,"상시근로자 8명(5인 이상), 최근 1년 고용조정 없음"
기업마당:PBLN-DUMMY-0005,불가,창업 3년 이내 요건 — 업력 약 7.5년으로 초과
K-Startup:KS-DUMMY-9005,불가,전남 소재 요건 — 우리 회사는 광주광역시 소재
기업마당:PBLN-DUMMY-0006,불가,업력 7년 미만 요건 — 약 7.5년으로 초과
기업마당:PBLN-DUMMY-0007,가능,제조업 10인 미만 요건 — 상시근로자 8명
K-Startup:KS-DUMMY-9006,불가,창업 7년 이내 요건 — 약 7.5년으로 초과
기업마당:PBLN-DUMMY-0008,가능,"광주 소재 중소기업, 업종 제한 없음"
기업마당:PBLN-DUMMY-0009,확인필요,벤처기업 확인서 보유 여부가 프로필에 없는 항목이라 판단 불가
K-Startup:KS-DUMMY-9007,불가,여성기업 확인서 미보유
