notice_a,notice_b,same
기업마당:PBLN-DUMMY-0001,K-Startup:KS-DUMMY-9001,1
기업마당:PBLN-DUMMY-0001,K-Startup:KS-DUMMY-9002,0
기업마당:PBLN-DUMMY-0001,K-Startup:KS-DUMMY-9003,0
기업마당:PBLN-DUMMY-0001,K-Startup:KS-DUMMY-9004,0
기업마당:PBLN-DUMMY-0001,K-Startup:KS-DUMMY-9005,0
기업마당:PBLN-DUMMY-0001,K-Startup:KS-DUMMY-9006,0
기업마당:PBLN-DUMMY-0001,K-Startup:KS-DUMMY-9007,0
K-Startup:KS-DUMMY-9001,기업마당:PBLN-DUMMY-0002,0
K-Startup:KS-DUMMY-9001,기업마당:PBLN-DUMMY-0003,0
K-Startup:KS-DUMMY-9001,기업마당:PBLN-DUMMY-0004,0
K-Startup:KS-DUMMY-9001,기업마당:PBLN-DUMMY-0005,0
K-Startup:KS-DUMMY-9001,기업마당:PBLN-DUMMY-0006,0
K-Startup:KS-DUMMY-9001,기업마당:PBLN-DUMMY-0007,0
K-Startup:KS-DUMMY-9001,기업마당:PBLN-DUMMY-0008,0
K-Startup:KS-DUMMY-9001,기업마당:PBLN-DUMMY-0009,0
기업마당:PBLN-DUMMY-0002,K-Startup:KS-DUMMY-9002,1
기업마당:PBLN-DUMMY-0002,K-Startup:KS-DUMMY-9003,0
기업마당:PBLN-DUMMY-0002,K-Startup:KS-DUMMY-9004,0
기업마당:PBLN-DUMMY-0002,K-Startup:KS-DUMMY-9005,0
기업마당:PBLN-DUMMY-0002,K-Startup:KS-DUMMY-9006,0
기업마당:PBLN-DUMMY-0002,K-Startup:KS-DUMMY-9007,0
K-Startup:KS-DUMMY-9002,기업마당:PBLN-DUMMY-0003,0
K-Startup:KS-DUMMY-9002,기업마당:PBLN-DUMMY-0004,0
K-Startup:KS-DUMMY-9002,기업마당:PBLN-DUMMY-0005,0
K-Startup:KS-DUMMY-9002,기업마당:PBLN-DUMMY-0006,0
K-Startup:KS-DUMMY-9002,기업마당:PBLN-DUMMY-0007,0
K-Startup:KS-DUMMY-9002,기업마당:PBLN-DUMMY-0008,0
K-Startup:KS-DUMMY-9002,기업마당:PBLN-DUMMY-0009,0
기업마당:PBLN-DUMMY-0003,K-Startup:KS-DUMMY-9003,1
기업마당:PBLN-DUMMY-0003,K-Startup:KS-DUMMY-9004,0
기업마당:PBLN-DUMMY-0003,K-Startup:KS-DUMMY-9005,0
기업마당:PBLN-DUMMY-0003,K-Startup:KS-DUMMY-9006,0
기업마당:PBLN-DUMMY-0003,K-Startup:KS-DUMMY-9007,0
K-Startup:KS-DUMMY-9003,기업마당:PBLN-DUMMY-0004,0
K-Startup:KS-DUMMY-9003,기업마당:PBLN-DUMMY-0005,0
K-Startup:KS-DUMMY-9003,기업마당:PBLN-DUMMY-0006,0
K-Startup:KS-DUMMY-9003,기업마당:PBLN-DUMMY-0007,0
K-Startup:KS-DUMMY-9003,기업마당:PBLN-DUMMY-0008,0
K-Startup:KS-DUMMY-9003,기업마당:PBLN-DUMMY-0009,0
기업마당:PBLN-DUMMY-0004,K-Startup:KS-DUMMY-9004,1
기업마당:PBLN-DUMMY-0004,K-Startup:KS-DUMMY-9005,0
기업마당:PBLN-DUMMY-0004,K-Startup:KS-DUMMY-9006,0
기업마당:PBLN-DUMMY-0004,K-Startup:KS-DUMMY-9007,0
K-Startup:KS-DUMMY-9004,기업마당:PBLN-DUMMY-0005,0
K-Startup:KS-DUMMY-9004,기업마당:PBLN-DUMMY-0006,0
K-Startup:KS-DUMMY-9004,기업마당:PBLN-DUMMY-0007,0
K-Startup:KS-DUMMY-9004,기업마당:PBLN-DUMMY-0008,0
K-Startup:KS-DUMMY-9004,기업마당:PBLN-DUMMY-0009,0
기업마당:PBLN-DUMMY-0005,K-Startup:KS-DUMMY-9005,0
기업마당:PBLN-DUMMY-0005,K-Startup:KS-DUMMY-9006,0
기업마당:PBLN-DUMMY-0005,K-Startup:KS-DUMMY-9007,0
K-Startup:KS-DUMMY-9005,기업마당:PBLN-DUMMY-0006,0
K-Startup:KS-DUMMY-9005,기업마당:PBLN-DUMMY-0007,0
K-Startup:KS-DUMMY-9005,기업마당:PBLN-DUMMY-0008,0
K-Startup:KS-DUMMY-9005,기업마당:PBLN-DUMMY-0009,0
기업마당:PBLN-DUMMY-0006,K-Startup:KS-DUMMY-9006,0
기업마당:PBLN-DUMMY-0006,K-Startup:KS-DUMMY-9007,0
기업마당:PBLN-DUMMY-0007,K-Startup:KS-DUMMY-9006,0
기업마당:PBLN-DUMMY-0007,K-Startup:KS-DUMMY-9007,0
K-Startup:KS-DUMMY-9006,기업마당:PBLN-DUMMY-0008,0
K-Startup:KS-DUMMY-9006,기업마당:PBLN-DUMMY-0009,0
기업마당:PBLN-DUMMY-0008,K-Startup:KS-DUMMY-9007,0
기업마당:PBLN-DUMMY-0009,K-Startup:KS-DUMMY-9007,0
